date,cname,iso3,cases,deaths,cu_cases,cu_deaths,days_elapsed
2020-01-19,China,CHN,136,1,216,3,0
2020-01-20,China,CHN,19,0,235,3,1
2020-01-21,China,CHN,151,3,386,6,2
2020-01-22,China,CHN,140,11,526,17,3
2020-01-23,China,CHN,97,0,623,17,4
2020-01-24,China,CHN,259,9,882,26,5
2020-01-25,China,CHN,441,15,1323,41,6
2020-01-26,China,CHN,665,15,1988,56,7
2020-01-27,China,CHN,787,25,2775,81,8
2020-01-28,China,CHN,1753,25,4528,106,9
2020-01-29,China,CHN,1466,26,5994,132,10
2020-01-30,China,CHN,1740,38,7734,170,11
2020-01-31,China,CHN,1980,43,9714,213,12
2020-02-01,China,CHN,2095,46,11809,259,13
2020-02-02,China,CHN,2590,45,14399,304,14
2020-02-03,China,CHN,2812,57,17211,361,15
2020-02-04,China,CHN,3237,65,20448,426,16
2020-02-05,China,CHN,3872,66,24320,492,17
2020-02-06,China,CHN,3727,72,28047,564,18
2020-02-07,China,CHN,3160,73,31207,637,19
2020-02-08,China,CHN,3418,86,34625,723,20
2020-02-09,China,CHN,2607,89,37232,812,21
2020-02-10,China,CHN,2974,97,40206,909,22
2020-02-11,China,CHN,2490,108,42696,1017,23
2020-02-12,China,CHN,2028,97,44724,1114,24
2020-02-13,China,CHN,15141,254,59865,1368,25
2020-02-14,China,CHN,4156,13,64021,1381,26
2020-02-15,China,CHN,2538,143,66559,1524,27
2020-02-16,China,CHN,2007,142,68566,1666,28
2020-02-17,China,CHN,2052,105,70618,1771,29
2020-02-18,China,CHN,1890,98,72508,1869,30
2020-02-19,China,CHN,1750,139,74258,2008,31
2020-02-20,China,CHN,394,112,74652,2120,32
2020-02-21,China,CHN,891,118,75543,2238,33
2020-02-21,South Korea,KOR,75,1,155,1,0
2020-02-22,China,CHN,826,109,76369,2347,34
2020-02-22,Japan,JPN,12,0,105,1,0
2020-02-22,South Korea,KOR,190,1,345,2,1
2020-02-23,China,CHN,647,98,77016,2445,35
2020-02-23,Japan,JPN,27,0,132,1,1
2020-02-23,South Korea,KOR,256,3,601,5,2
2020-02-24,China,CHN,218,150,77234,2595,36
2020-02-24,Italy,ITA,53,0,132,2,0
2020-02-24,Japan,JPN,12,0,144,1,2
2020-02-24,South Korea,KOR,161,2,762,7,3
2020-02-25,China,CHN,515,70,77749,2665,37
2020-02-25,Italy,ITA,97,4,229,6,1
2020-02-25,Japan,JPN,0,0,144,1,3
2020-02-25,South Korea,KOR,130,1,892,8,4
2020-02-26,China,CHN,410,52,78159,2717,38
2020-02-26,Italy,ITA,93,5,322,11,2
2020-02-26,Japan,JPN,20,0,164,1,4
2020-02-26,South Korea,KOR,254,3,1146,11,5
2020-02-27,China,CHN,439,29,78598,2746,39
2020-02-27,Iran,IRN,44,4,139,19,0
2020-02-27,Italy,ITA,78,1,400,12,3
2020-02-27,Japan,JPN,22,2,186,3,5
2020-02-27,South Korea,KOR,449,1,1595,12,6
2020-02-28,China,CHN,329,44,78927,2790,40
2020-02-28,Iran,IRN,106,7,245,26,1
2020-02-28,Italy,ITA,250,5,650,17,4
2020-02-28,Japan,JPN,24,0,210,3,6
2020-02-28,South Korea,KOR,427,1,2022,13,7
2020-02-29,China,CHN,428,47,79355,2837,41
2020-02-29,Iran,IRN,143,8,388,34,2
2020-02-29,Italy,ITA,238,4,888,21,5
2020-02-29,Japan,JPN,20,0,230,3,7
2020-02-29,South Korea,KOR,909,3,2931,16,8
2020-03-01,China,CHN,574,35,79929,2872,42
2020-03-01,France,FRA,43,0,100,2,0
2020-03-01,Germany,DEU,54,0,111,0,0
2020-03-01,Iran,IRN,205,9,593,43,3
2020-03-01,Italy,ITA,240,8,1128,29,6
2020-03-01,Japan,JPN,9,2,239,5,8
2020-03-01,Singapore,SGP,4,0,102,0,0
2020-03-01,South Korea,KOR,595,1,3526,17,9
2020-03-02,China,CHN,205,42,80134,2914,43
2020-03-02,France,FRA,30,0,130,2,1
2020-03-02,Germany,DEU,18,0,129,0,1
2020-03-02,Iran,IRN,385,11,978,54,4
2020-03-02,Italy,ITA,561,6,1689,35,7
2020-03-02,Japan,JPN,15,1,254,6,9
2020-03-02,Singapore,SGP,4,0,106,0,1
2020-03-02,South Korea,KOR,686,5,4212,22,10
2020-03-03,China,CHN,127,32,80261,2946,44
2020-03-03,France,FRA,48,1,178,3,2
2020-03-03,Germany,DEU,28,0,157,0,2
2020-03-03,Iran,IRN,523,12,1501,66,5
2020-03-03,Italy,ITA,347,17,2036,52,8
2020-03-03,Japan,JPN,0,0,254,6,10
2020-03-03,Singapore,SGP,2,0,108,0,2
2020-03-03,South Korea,KOR,600,6,4812,28,11
2020-03-03,Spain,ESP,31,0,114,0,0
2020-03-03,USA,USA,14,4,103,6,0
2020-03-04,China,CHN,119,37,80380,2983,45
2020-03-04,France,FRA,34,1,212,4,3
2020-03-04,Germany,DEU,39,0,196,0,3
2020-03-04,Iran,IRN,835,11,2336,77,6
2020-03-04,Italy,ITA,466,28,2502,80,9
2020-03-04,Japan,JPN,14,0,268,6,11
2020-03-04,Singapore,SGP,2,0,110,0,3
2020-03-04,South Korea,KOR,516,4,5328,32,12
2020-03-04,Spain,ESP,37,0,151,0,1
2020-03-04,USA,USA,22,3,125,9,1
2020-03-05,China,CHN,117,31,80497,3014,46
2020-03-05,France,FRA,73,0,285,4,4
2020-03-05,Germany,DEU,66,0,262,0,4
2020-03-05,Iran,IRN,586,15,2922,92,7
2020-03-05,Italy,ITA,587,27,3089,107,10
2020-03-05,Japan,JPN,49,0,317,6,12
2020-03-05,Singapore,SGP,2,0,112,0,4
2020-03-05,South Korea,KOR,438,3,5766,35,13
2020-03-05,Spain,ESP,49,1,200,1,2
2020-03-05,USA,USA,34,2,159,11,2
2020-03-06,China,CHN,170,30,80667,3044,47
2020-03-06,France,FRA,138,3,423,7,5
2020-03-06,Germany,DEU,138,0,400,0,5
2020-03-06,Iran,IRN,591,15,3513,107,8
2020-03-06,Italy,ITA,769,41,3858,148,11
2020-03-06,Japan,JPN,32,0,349,6,13
2020-03-06,Singapore,SGP,5,0,117,0,5
2020-03-06,South Korea,KOR,518,7,6284,42,14
2020-03-06,Spain,ESP,61,2,261,3,3
2020-03-06,UK,GBR,30,1,115,1,0
2020-03-06,USA,USA,74,1,233,12,3
2020-03-07,Belgium,BEL,59,0,109,0,0
2020-03-07,China,CHN,101,28,80768,3072,48
2020-03-07,France,FRA,190,2,613,9,6
2020-03-07,Germany,DEU,284,0,684,0,6
2020-03-07,Iran,IRN,1234,17,4747,124,9
2020-03-07,Italy,ITA,778,49,4636,197,12
2020-03-07,Japan,JPN,59,0,408,6,14
