estimate,estimate_label,sex_id,sex,hisp_id,hisp_label,fips,statefips,state,pop,white,black,amind,asian,nhopi,tom
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0100000US,,United States,24858794,21936806,1191984,702309,249346,85203,693146
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0100000US,,United States,132105418,100301335,19853611,1147502,7691693,246518,2864759
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0100000US,,United States,156964212,122238141,21045595,1849811,7941039,331721,3557905
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0100000US,,United States,25618800,22681299,1136129,773939,248654,92206,686573
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0100000US,,United States,126162526,97017621,18068911,1115756,6969823,250698,2739717
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0100000US,,United States,151781326,119698920,19205040,1889695,7218477,342904,3426290
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50477594,44618105,2328113,1476248,498000,177409,1379719
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258267944,197318956,37922522,2263258,14661516,497216,5604476
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0100000US,,United States,308745538,241937061,40250635,3739506,15159516,674625,6984195
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0100000US,,United States,24859010,21936988,1192006,702315,249346,85203,693152
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0100000US,,United States,132110318,100305067,19854674,1147525,7691732,246524,2864796
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0100000US,,United States,156969328,122242055,21046680,1849840,7941078,331727,3557948
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0100000US,,United States,25619601,22682009,1136190,773950,248658,92208,686586
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0100000US,,United States,126169176,97021367,18071580,1115817,6969907,250709,2739796
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0100000US,,United States,151788777,119703376,19207770,1889767,7218565,342917,3426382
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50478611,44618997,2328196,1476265,498004,177411,1379738
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258279494,197326434,37926254,2263342,14661639,497233,5604592
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0100000US,,United States,308758105,241945431,40254450,3739607,15159643,674644,6984330
est72010,"July 1, 2010",female,Female,hisp,Hispanic,0100000US,,United States,25000565,22059599,1199204,705953,250719,85646,699444
est72010,"July 1, 2010",female,Female,nhisp,Not Hispanic,0100000US,,United States,132248502,100322803,19897522,1150332,7744259,247821,2885765
est72010,"July 1, 2010",female,Female,tothisp,Total,0100000US,,United States,157249067,122382402,21096726,1856285,7994978,333467,3585209
est72010,"July 1, 2010",male,Male,hisp,Hispanic,0100000US,,United States,25746906,22790195,1143433,777621,250028,92667,692962
est72010,"July 1, 2010",male,Male,nhisp,Not Hispanic,0100000US,,United States,126330112,97063824,18116412,1118365,7017970,252068,2761473
est72010,"July 1, 2010",male,Male,tothisp,Total,0100000US,,United States,152077018,119854019,19259845,1895986,7267998,344735,3454435
est72010,"July 1, 2010",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50747471,44849794,2342637,1483574,500747,178313,1392406
est72010,"July 1, 2010",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258578614,197386627,38013934,2268697,14762229,499889,5647238
est72010,"July 1, 2010",totsex,Both Sexes,tothisp,Total,0100000US,,United States,309326085,242236421,40356571,3752271,15262976,678202,7039644
est72011,"July 1, 2011",female,Female,hisp,Hispanic,0100000US,,United States,25594999,22572603,1231802,720733,256603,87587,725671
est72011,"July 1, 2011",female,Female,nhisp,Not Hispanic,0100000US,,United States,132773185,100323218,20079686,1160925,7983922,253231,2972203
est72011,"July 1, 2011",female,Female,tothisp,Total,0100000US,,United States,158368184,122895821,21311488,1881658,8240525,340818,3697874
