state_name,state_abbr,long_name,fips,sumlev,region,division,state,region_name,division_name
Alabama,AL,Alabama AL,1,40,3,6,1,South,East South Central
Alaska,AK,Alaska AK,2,40,4,9,2,West,Pacific
Arizona,AZ,Arizona AZ,4,40,4,8,4,West,Mountain
Arkansas,AR,Arkansas AR,5,40,3,7,5,South,West South Central
California,CA,California CA,6,40,4,9,6,West,Pacific
Colorado,CO,Colorado CO,8,40,4,8,8,West,Mountain
Connecticut,CT,Connecticut CT,9,40,1,1,9,Northeast,New England
Delaware,DE,Delaware DE,10,40,3,5,10,South,South Atlantic
Florida,FL,Florida FL,12,40,3,5,12,South,South Atlantic
Georgia,GA,Georgia GA,13,40,3,5,13,South,South Atlantic
Hawaii,HI,Hawaii HI,15,40,4,9,15,West,Pacific
Idaho,ID,Idaho ID,16,40,4,8,16,West,Mountain
Illinois,IL,Illinois IL,17,40,2,3,17,Midwest,East North Central
Indiana,IN,Indiana IN,18,40,2,3,18,Midwest,East North Central
Iowa,IA,Iowa IA,19,40,2,4,19,Midwest,West North Central
Kansas,KS,Kansas KS,20,40,2,4,20,Midwest,West North Central
Kentucky,KY,Kentucky KY,21,40,3,6,21,South,East South Central
Louisiana,LA,Louisiana LA,22,40,3,7,22,South,West South Central
Maine,ME,Maine ME,23,40,1,1,23,Northeast,New England
Maryland,MD,Maryland MD,24,40,3,5,24,South,South Atlantic
Massachusetts,MA,Massachusetts MA,25,40,1,1,25,Northeast,New England
Michigan,MI,Michigan MI,26,40,2,3,26,Midwest,East North Central
Minnesota,MN,Minnesota MN,27,40,2,4,27,Midwest,West North Central
Mississippi,MS,Mississippi MS,28,40,3,6,28,South,East South Central
Missouri,MO,Missouri MO,29,40,2,4,29,Midwest,West North Central
Montana,MT,Montana MT,30,40,4,8,30,West,Mountain
Nebraska,NE,Nebraska NE,31,40,2,4,31,Midwest,West North Central
Nevada,NV,Nevada NV,32,40,4,8,32,West,Mountain
New Hampshire,NH,New Hampshire NH,33,40,1,1,33,Northeast,New England
New Jersey,NJ,New Jersey NJ,34,40,1,2,34,Northeast,Middle Atlantic
New Mexico,NM,New Mexico NM,35,40,4,8,35,West,Mountain
New York,NY,New York NY,36,40,1,2,36,Northeast,Middle Atlantic
North Carolina,NC,North Carolina NC,37,40,3,5,37,South,South Atlantic
North Dakota,ND,North Dakota ND,38,40,2,4,38,Midwest,West North Central
Ohio,OH,Ohio OH,39,40,2,3,39,Midwest,East North Central
Oklahoma,OK,Oklahoma OK,40,40,3,7,40,South,West South Central
Oregon,OR,Oregon OR,41,40,4,9,41,West,Pacific
Pennsylvania,PA,Pennsylvania PA,42,40,1,2,42,Northeast,Middle Atlantic
Rhode Island,RI,Rhode Island RI,44,40,1,1,44,Northeast,New England
South Carolina,SC,South Carolina SC,45,40,3,5,45,South,South Atlantic
South Dakota,SD,South Dakota SD,46,40,2,4,46,Midwest,West North Central
Tennessee,TN,Tennessee TN,47,40,3,6,47,South,East South Central
Texas,TX,Texas TX,48,40,3,7,48,South,West South Central
Utah,UT,Utah UT,49,40,4,8,49,West,Mountain
Vermont,VT,Vermont VT,50,40,1,1,50,Northeast,New England
Virginia,VA,Virginia VA,51,40,3,5,51,South,South Atlantic
Washington,WA,Washington WA,53,40,4,9,53,West,Pacific
West Virginia,WV,West Virginia WV,54,40,3,5,54,South,South Atlantic
Wisconsin,WI,Wisconsin WI,55,40,2,3,55,Midwest,East North Central
Wyoming,WY,Wyoming WY,56,40,4,8,56,West,Mountain
